132,151 95,148
132,151 96,148
132,151 97,148
133,151 98,148
133,151 99,148
134,151 100,148
134,151 101,148
135,151 102,148
135,151 103,148
136,151 104,148
136,151 105,148
137,151 106,148
137,151 107,148
138,151 108,148
138,151 109,148
139,151 110,148
139,151 111,148
140,151 112,148
140,151 113,148
141,151 114,148
141,151 115,148
142,151 116,148
142,151 117,148
143,151 118,148
143,151 119,148
144,151 120,148
144,151 121,148
145,151 122,148
145,151 123,148
146,151 124,147
146,151 125,147
147,151 126,147
147,151 127,147
148,151 128,147
148,151 129,147
149,151 130,147
149,151 131,147
150,151 132,147
150,151 133,147
150,151 134,147
151,151 135,147
151,151 136,147
152,151 137,147
152,151 138,147
153,151 139,147
153,151 140,147
154,151 141,147
154,151 142,147
155,151 143,147
155,151 144,147
156,151 145,147
156,151 146,147
157,151 147,147
157,151 148,147
158,151 149,147
158,151 150,147
159,151 151,147
159,151 152,147
160,150 153,147
160,150 154,147
161,150 155,147
161,150 156,147
162,150 157,147
162,150 158,147
163,150 159,147
163,150 160,147
164,150 161,147
164,150 162,147
165,150 163,147
165,150 164,147
166,150 165,147
166,150 166,147
167,150 167,147
167,150 168,147
168,150 169,147
168,150 170,147
168,150 171,147
169,150 172,147
169,150 173,147
170,150 174,147
170,150 175,147
171,150 176,147
171,150 177,147
172,150 178,147
172,150 179,146
173,150 180,146
173,150 181,146
174,150 182,146
174,150 183,146
175,150 184,146
175,150 185,146
176,150 186,146
176,150 187,146
177,150 188,146
177,150 189,146
178,150 190,146
178,150 191,146
179,150 192,146
179,150 193,146
180,150 194,146
180,150 195,146
181,150 196,146
181,150 197,146
182,150 198,146
182,150 199,146
183,150 200,146
183,150 201,146
184,150 202,146
184,150 203,146
185,150 204,146
185,150 205,146
186,150 206,146
132,152 95,148
132,152 96,148
132,152 97,148
133,152 98,148
133,152 99,148
134,152 100,148
134,152 101,148
135,152 102,148
135,152 103,148
136,152 104,148
136,152 105,148
137,152 106,148
137,152 107,148
138,152 108,148
138,152 109,148
139,152 110,148
139,152 111,148
140,152 112,148
140,152 113,148
141,152 114,148
141,152 115,148
142,152 116,148
142,152 117,148
143,152 118,148
143,152 119,148
144,152 120,148
144,152 121,148
145,152 122,148
145,152 123,148
146,152 124,147
146,152 125,147
147,152 126,147
147,152 127,147
148,152 128,147
148,152 129,147
149,152 130,147
149,152 131,147
150,152 132,147
150,152 133,147
150,152 134,147
151,152 135,147
151,152 136,147
152,152 137,147
152,152 138,147
153,152 139,147
153,152 140,147
154,152 141,147
154,152 142,147
155,152 143,147
155,152 144,147
156,152 145,147
156,152 146,147
157,152 147,147
157,152 148,147
158,152 149,147
158,152 150,147
159,152 151,147
159,152 152,147
160,151 153,147
160,151 154,147
161,151 155,147
161,151 156,147
162,151 157,147
162,151 158,147
163,151 159,147
163,151 160,147
164,151 161,147
164,151 162,147
165,151 163,147
165,151 164,147
166,151 165,147
166,151 166,147
167,151 167,147
167,151 168,147
168,151 169,147
168,151 170,147
168,151 171,147
169,151 172,147
169,151 173,147
170,151 174,147
170,151 175,147
171,151 176,147
171,151 177,147
172,151 178,147
172,151 179,146
173,151 180,146
173,151 181,146
174,151 182,146
174,151 183,146
175,151 184,146
175,151 185,146
176,151 186,146
176,151 187,146
177,151 188,146
177,151 189,146
178,151 190,146
178,151 191,146
179,151 192,146
179,151 193,146
180,151 194,146
180,151 195,146
181,151 196,146
181,151 197,146
182,151 198,146
182,151 199,146
183,151 200,146
183,151 201,146
184,151 202,146
184,151 203,146
185,151 204,146
185,151 205,146
186,151 206,146
131,152 95,149
131,152 96,149
132,153 97,149
132,153 98,149
133,153 99,149
133,153 100,149
134,153 101,149
134,153 102,149
135,153 103,149
135,153 104,149
136,153 105,149
136,153 106,149
137,153 107,149
137,153 108,149
138,153 109,149
138,153 110,149
139,153 111,149
139,153 112,149
140,153 113,149
140,153 114,149
141,153 115,149
141,153 116,149
142,153 117,149
142,153 118,149
143,153 119,149
143,153 120,149
144,153 121,149
144,153 122,149
145,153 123,149
145,153 124,148
146,153 125,148
146,153 126,148
147,153 127,148
147,153 128,148
148,153 129,148
148,153 130,148
149,153 131,148
149,153 132,148
150,153 133,148
150,153 134,148
151,153 135,148
151,153 136,148
152,153 137,148
152,153 138,148
153,153 139,148
